symbol,timestamp,duration,class,oss_ev,absorbed_ev,p_cont,regime,executed,exploration_triggered,num_orders,thesis_resolved,total_pnl,oss_direction
EURUSD,2026-07-07 02:28:27,3,B_TRANSITION,0.5113,0.5113,0.7000,COMPRESSED_CHAOS,False,False,0,0,0.00,LONG
GBPAUD,2026-07-07 02:11:11,3,B_TRANSITION,0.6335,0.6335,0.8100,NORMAL,True,True,1,1,0.00,LONG
GBPAUD,2026-07-07 02:12:10,4,B_TRANSITION,0.6335,0.6335,0.8100,NORMAL,True,True,1,1,0.00,LONG
GBPAUD,2026-07-07 02:13:09,5,C_ACCUMULATION,0.6335,0.6335,0.8100,NORMAL,True,True,1,0,0.00,LONG
GBPAUD,2026-07-07 02:14:33,6,C_ACCUMULATION,0.6335,0.6335,0.8100,NORMAL,True,True,1,0,0.00,LONG
GBPAUD,2026-07-07 02:15:37,7,C_ACCUMULATION,0.6335,0.6335,0.8100,NORMAL,False,False,0,0,0.00,LONG
GBPAUD,2026-07-07 02:23:56,3,B_TRANSITION,0.6335,0.6335,0.8100,NORMAL,False,False,0,0,0.00,LONG
EURCAD,2026-07-07 02:11:11,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,False,0,0,0.00,SHORT
EURCAD,2026-07-07 02:12:10,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,False,0,0,0.00,SHORT
EURCAD,2026-07-07 02:13:09,5,C_ACCUMULATION,-0.7878,0.7878,0.8900,NORMAL,False,False,0,0,0.00,SHORT
EURCAD,2026-07-07 10:41:43,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
GBPUSD,2026-07-07 02:12:10,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,True,False,2,0,0.00,SHORT
GBPUSD,2026-07-07 02:13:09,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,True,False,2,0,0.00,SHORT
GBPUSD,2026-07-07 10:41:43,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
GBPUSD,2026-07-07 10:42:54,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
GBPCAD,2026-07-07 02:12:10,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,False,0,0,0.00,SHORT
GBPCAD,2026-07-07 10:41:43,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
GBPCAD,2026-07-07 10:42:54,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
AUDCAD,2026-07-07 02:13:09,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,False,0,0,0.00,SHORT
AUDCAD,2026-07-07 10:41:43,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
AUDCAD,2026-07-07 10:42:54,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
USDCHF,2026-07-07 02:23:56,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
USDCHF,2026-07-07 02:24:40,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
USDCHF,2026-07-07 02:25:05,5,C_ACCUMULATION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
USDCHF,2026-07-07 02:26:28,6,C_ACCUMULATION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
EURNZD,2026-07-07 10:41:43,3,B_TRANSITION,0.5113,0.5113,0.7000,NORMAL,False,True,0,0,0.00,LONG
EURNZD,2026-07-07 10:42:54,4,B_TRANSITION,0.5113,0.5113,0.7000,NORMAL,False,True,0,0,0.00,LONG
GBPCHF,2026-07-07 10:41:43,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
GBPCHF,2026-07-07 10:42:54,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
AUDCHF,2026-07-07 10:41:43,3,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,True,0,0,0.00,SHORT
AUDCHF,2026-07-07 10:42:54,4,B_TRANSITION,-0.7878,0.7878,0.8900,NORMAL,False,False,0,0,0.00,SHORT
